trip_code,route_code
WE_1,R1
WE_10,R1
WE_100,R1
WE_101,R1
WE_102,R1
WE_103,R1
WE_104,R1
WE_105,R1
WE_106,R1
WE_107,R1
WE_108,R1
WE_109,R1
WE_11,R1
WE_110,R1
WE_111,R1
WE_112,R1
WE_113,R1
WE_114,R1
WE_115,R1
WE_116,R1
WE_117,R1
WE_118,R1
WE_119,R1
WE_12,R1
WE_120,R1
WE_121,R1
WE_122,R1
WE_123,R1
WE_124,R1
WE_125,R1
WE_126,R1
WE_127,R1
WE_128,R1
WE_129,R1
WE_13,R1
WE_130,R1
WE_131,R1
WE_132,R1
WE_133,R1
WE_134,R1
WE_135,R1
WE_136,R1
WE_137,R1
WE_138,R1
WE_139,R1
WE_14,R1
WE_140,R1
WE_141,R1
WE_142,R1
WE_143,R1
WE_144,R1
WE_145,R1
WE_146,R1
WE_147,R1
WE_148,R1
WE_149,R1
WE_15,R1
WE_150,R1
WE_151,R1
WE_152,R1
WE_153,R1
WE_154,R1
WE_155,R1
WE_156,R1
WE_157,R1
WE_158,R1
WE_159,R1
WE_16,R1
WE_160,R1
WE_161,R1
WE_162,R1
WE_163,R1
WE_164,R1
WE_165,R1
WE_166,R1
WE_167,R1
WE_168,R1
WE_169,R1
WE_17,R1
WE_170,R1
WE_171,R1
WE_172,R1
WE_173,R1
WE_174,R1
WE_175,R1
WE_177,R1
WE_178,R1
WE_179,R1
WE_18,R1
WE_180,R1
WE_181,R1
WE_182,R1
WE_183,R1
WE_184,R1
WE_185,R1
WE_186,R1
WE_187,R1
WE_188,R1
WE_189,R1
WE_19,R1
WE_190,R1
WE_191,R1
WE_192,R1
WE_193,R1
WE_194,R1
WE_195,R1
WE_196,R1
WE_2,R1
WE_20,R1
WE_21,R1
WE_22,R1
WE_23,R1
WE_24,R1
WE_25,R1
WE_26,R1
WE_27,R1
WE_28,R1
WE_29,R1
WE_3,R1
WE_30,R1
WE_31,R1
WE_32,R1
WE_33,R1
WE_34,R1
WE_35,R1
WE_36,R1
WE_37,R1
WE_38,R1
WE_39,R1
WE_4,R1
WE_40,R1
WE_41,R1
WE_42,R1
WE_43,R1
WE_44,R1
WE_45,R1
WE_46,R1
WE_47,R1
WE_48,R1
WE_49,R1
WE_5,R1
WE_50,R1
WE_51,R1
WE_52,R1
WE_53,R1
WE_54,R1
WE_55,R1
WE_56,R1
WE_57,R1
WE_58,R1
WE_59,R1
WE_6,R1
WE_60,R1
WE_61,R1
WE_62,R1
WE_63,R1
WE_64,R1
WE_65,R1
WE_66,R1
WE_67,R1
WE_68,R1
WE_69,R1
WE_7,R1
WE_70,R1
WE_71,R1
WE_72,R1
WE_73,R1
WE_74,R1
WE_75,R1
WE_76,R1
WE_77,R1
WE_78,R1
WE_79,R1
WE_8,R1
WE_80,R1
WE_81,R1
WE_82,R1
WE_83,R1
WE_84,R1
WE_85,R1
WE_86,R1
WE_87,R1
WE_88,R1
WE_89,R1
WE_9,R1
WE_90,R1
WE_91,R1
WE_92,R1
WE_93,R1
WE_94,R1
WE_95,R1
WE_96,R1
WE_97,R1
WE_98,R1
WE_99,R1
WK_1,R1
WK_10,R1
WK_100,R1
WK_101,R1
WK_102,R1
WK_103,R1
WK_104,R1
WK_105,R1
WK_106,R1
WK_107,R1
WK_108,R1
WK_109,R1
WK_11,R1
WK_110,R1
WK_111,R1
WK_112,R1
WK_113,R1
WK_114,R1
WK_115,R1
WK_116,R1
WK_117,R1
WK_118,R1
WK_119,R1
WK_12,R1
WK_120,R1
WK_121,R1
WK_122,R1
WK_123,R1
WK_124,R1
WK_125,R1
WK_126,R1
WK_127,R1
WK_128,R1
WK_129,R1
WK_13,R1
WK_130,R1
WK_131,R1
WK_132,R1
WK_133,R1
WK_134,R1
WK_135,R1
WK_136,R1
WK_137,R1
WK_138,R1
WK_139,R1
WK_14,R1
WK_140,R1
WK_141,R1
WK_142,R1
WK_143,R1
WK_144,R1
WK_145,R1
WK_146,R1
WK_147,R1
WK_148,R1
WK_149,R1
WK_15,R1
WK_150,R1
WK_151,R1
WK_152,R1
WK_153,R1
WK_154,R1
WK_155,R1
WK_156,R1
WK_157,R1
WK_158,R1
WK_159,R1
WK_16,R1
WK_160,R1
WK_161,R1
WK_162,R1
WK_163,R1
WK_164,R1
WK_165,R1
WK_166,R1
WK_167,R1
WK_168,R1
WK_169,R1
WK_17,R1
WK_170,R1
WK_171,R1
WK_172,R1
WK_173,R1
WK_174,R1
WK_175,R1
WK_176,R1
WK_177,R1
WK_178,R1
WK_179,R1
WK_18,R1
WK_180,R1
WK_181,R1
WK_182,R1
WK_183,R1
WK_184,R1
WK_185,R1
WK_186,R1
WK_187,R1
WK_188,R1
WK_189,R1
WK_19,R1
WK_190,R1
WK_191,R1
WK_192,R1
WK_193,R1
WK_194,R1
WK_195,R1
WK_196,R1
WK_197,R1
WK_198,R1
WK_199,R1
WK_2,R1
WK_20,R1
WK_200,R1
WK_201,R1
WK_202,R1
WK_203,R1
WK_204,R1
WK_205,R1
WK_206,R1
WK_207,R1
WK_208,R1
WK_209,R1
WK_21,R1
WK_210,R1
WK_211,R1
WK_212,R1
WK_213,R1
WK_214,R1
WK_215,R1
WK_216,R1
WK_217,R1
WK_218,R1
WK_219,R1
WK_22,R1
WK_220,R1
WK_221,R1
WK_222,R1
WK_223,R1
WK_224,R1
WK_225,R1
WK_226,R1
WK_227,R1
WK_228,R1
WK_229,R1
WK_23,R1
WK_230,R1
WK_231,R1
WK_232,R1
WK_233,R1
WK_234,R1
WK_235,R1
WK_236,R1
WK_237,R1
WK_238,R1
WK_239,R1
WK_24,R1
WK_240,R1
WK_241,R1
WK_242,R1
WK_243,R1
WK_244,R1
WK_245,R1
WK_246,R1
WK_247,R1
WK_248,R1
WK_249,R1
WK_25,R1
WK_250,R1
WK_252,R1
WK_253,R1
WK_254,R1
WK_255,R1
WK_256,R1
WK_26,R1
WK_27,R1
WK_28,R1
WK_29,R1
WK_3,R1
WK_30,R1
WK_31,R1
WK_32,R1
WK_33,R1
WK_34,R1
WK_35,R1
WK_36,R1
WK_37,R1
WK_38,R1
WK_39,R1
WK_4,R1
WK_40,R1
WK_41,R1
WK_42,R1
WK_43,R1
WK_44,R1
WK_45,R1
WK_46,R1
WK_47,R1
WK_48,R1
WK_49,R1
WK_5,R1
WK_50,R1
WK_51,R1
WK_52,R1
WK_53,R1
WK_54,R1
WK_55,R1
WK_56,R1
WK_57,R1
WK_58,R1
WK_59,R1
WK_6,R1
WK_60,R1
WK_61,R1
WK_62,R1
WK_63,R1
WK_64,R1
WK_65,R1
WK_66,R1
WK_67,R1
WK_68,R1
WK_69,R1
WK_7,R1
WK_70,R1
WK_71,R1
WK_72,R1
WK_73,R1
WK_74,R1
WK_75,R1
WK_76,R1
WK_77,R1
WK_78,R1
WK_79,R1
WK_8,R1
WK_80,R1
WK_81,R1
WK_82,R1
WK_83,R1
WK_84,R1
WK_85,R1
WK_86,R1
WK_87,R1
WK_88,R1
WK_89,R1
WK_9,R1
WK_90,R1
WK_91,R1
WK_92,R1
WK_93,R1
WK_94,R1
WK_95,R1
WK_96,R1
WK_97,R1
WK_98,R1
WK_99,R1
WM_CHE_SOU_001,WM_CHE_SOU
WM_CHE_SOU_002,WM_CHE_SOU
WM_CHE_SOU_003,WM_CHE_SOU
WM_CHE_SOU_004,WM_CHE_SOU
WM_CHE_SOU_005,WM_CHE_SOU
WM_CHE_SOU_006,WM_CHE_SOU
WM_CHE_SOU_007,WM_CHE_SOU
WM_ELO_SOU_001,WM_ELO_SOU
WM_ELO_SOU_002,WM_ELO_SOU
WM_ELO_SOU_003,WM_ELO_SOU
WM_ELO_SOU_004,WM_ELO_SOU
WM_FOR_HIG_001,WM_FOR_HIG
WM_FOR_HIG_002,WM_FOR_HIG
WM_FOR_HIG_003,WM_FOR_HIG
WM_FOR_HIG_004,WM_FOR_HIG
WM_FOR_HIG_005,WM_FOR_HIG
WM_FOR_HIG_006,WM_FOR_HIG
WM_FOR_HIG_007,WM_FOR_HIG
WM_FOR_HIG_008,WM_FOR_HIG
WM_FOR_HIG_009,WM_FOR_HIG
WM_FOR_HIG_010,WM_FOR_HIG
WM_FOR_HIG_011,WM_FOR_HIG
WM_FOR_HIG_012,WM_FOR_HIG
WM_FOR_HIG_013,WM_FOR_HIG
WM_FOR_HIG_014,WM_FOR_HIG
WM_FOR_HIG_015,WM_FOR_HIG
WM_FOR_HIG_016,WM_FOR_HIG
WM_FOR_HIG_017,WM_FOR_HIG
WM_FOR_HIG_018,WM_FOR_HIG
WM_FOR_HIG_019,WM_FOR_HIG
WM_FOR_HIG_020,WM_FOR_HIG
WM_FOR_HIG_021,WM_FOR_HIG
WM_FOR_HIG_022,WM_FOR_HIG
WM_FOR_HIG_023,WM_FOR_HIG
WM_FOR_HIG_024,WM_FOR_HIG
WM_FOR_HIG_025,WM_FOR_HIG
WM_FOR_HIG_026,WM_FOR_HIG
WM_FOR_HIG_027,WM_FOR_HIG
WM_FOR_HIG_028,WM_FOR_HIG
